t,c,Predicted Close
2024-01-05 05:00:00,181.18,
2024-01-08 05:00:00,185.56,
2024-01-09 05:00:00,185.14,
2024-01-10 05:00:00,186.19,
2024-01-11 05:00:00,185.59,
2024-01-12 05:00:00,185.92,
2024-01-16 05:00:00,183.63,
2024-01-17 05:00:00,182.68,
2024-01-18 05:00:00,188.63,
2024-01-19 05:00:00,191.56,
2024-01-22 05:00:00,193.89,
2024-01-23 05:00:00,195.18,
2024-01-24 05:00:00,194.5,
2024-01-25 05:00:00,194.17,193.6940748746512
2024-01-26 05:00:00,192.42,193.49701821051212
2024-01-29 05:00:00,191.73,191.6787428807669
2024-01-30 05:00:00,188.04,191.38018239783
