t,c,Predicted Close
2024-01-05 05:00:00,8.35,
2024-01-08 05:00:00,8.81,
2024-01-09 05:00:00,8.54,
2024-01-10 05:00:00,8.63,
2024-01-11 05:00:00,8.76,
2024-01-12 05:00:00,8.57,
2024-01-16 05:00:00,8.46,
2024-01-17 05:00:00,8.41,
2024-01-18 05:00:00,8.42,
2024-01-19 05:00:00,8.32,
2024-01-22 05:00:00,8.69,
2024-01-23 05:00:00,8.75,
2024-01-24 05:00:00,8.94,
2024-01-25 05:00:00,9.09,8.67822453417875
2024-01-26 05:00:00,8.82,8.695993823823716
2024-01-29 05:00:00,9.02,8.585590106282194
2024-01-30 05:00:00,8.86,8.659989866888989
